Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401CP00281,36 - 45,NA,Urban area,9,NA,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TXII SILVER AUTO,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,2,109,Data missing or out of range,Back,2004
200401CP00282,26 - 35,2,Urban area,3,1398,None,None,Data missing or out of range,Data missing or out of range,TOYOTA,COROLLA T2 VVTI,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Nearside,2004
200401CP00283,21 - 25,6,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,2,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401CP00284,56 - 65,1,Urban area,5,1997,None,None,Data missing or out of range,Data missing or out of range,CITROEN,RELAY 1000 TD HDI SWB,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Nearside,2004
200401CP00285,36 - 45,7,Urban area,1,1731,None,None,Data missing or out of range,Data missing or out of range,VOLVO,S40 1.8I AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,109,Data missing or out of range,Offside,2004
200401CP00286,26 - 35,3,Urban area,2,1769,None,None,Data missing or out of range,Data missing or out of range,NISSAN,ALMERA SE AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401CP00287,Data missing or out of range,NA,Data missing or out of range,NA,1753,None,None,Data missing or out of range,Data missing or out of range,FORD,TRAN CONNECT L 220 TD SWB,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning left,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Front,2004
200401CP00289,36 - 45,6,Data missing or out of range,NA,2800,None,None,Data missing or out of range,Data missing or out of range,IVECO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning left,1,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Back,2004
200401CP00290,Data missing or out of range,3,Data missing or out of range,NA,1994,None,None,Data missing or out of range,Data missing or out of range,ROVER,45 CONNOISSEUR TD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking static vehicle - offside,1,109,Data missing or out of range,Offside,2004
200401CP00293,26 - 35,5,Urban area,2,2324,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,BORA V5,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,1,109,Data missing or out of range,Did not impact,2004
200401CP00294,46 - 55,8,Urban area,6,1896,None,None,Data missing or out of range,Data missing or out of range,BMW,318 TI AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Nearside,2004
200401CP00295,36 - 45,10,Urban area,8,1052,None,None,Data missing or out of range,Data missing or out of range,KAWASAKI,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Nearside,2004
200401CP00296,46 - 55,NA,Urban area,1,1896,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,PASSAT S TDI AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Nearside,2004
200401CP00299,Data missing or out of range,2,Urban area,NA,599,None,None,Data missing or out of range,Data missing or out of range,HONDA,CB600 HORNET,Petrol,Male,None,No tow/articulation,Did not leave carriageway,4,Changing lane to right,1,106,Data missing or out of range,Front,2004
